id,name,alcohol,image,,,
27,ほっけの塩焼,sake,,,,
28,手羽中唐揚げ,sake,,,,
29,いか明太子焼,sake,,,,
30,野菜スティック,sake,,,,
31,スモークタン,sake,,,,
32,つるしベーコン,sake,,,,
33,おつまみ胡瓜・大根,sake,,,,
34,豚もつ煮込み,sake,,,,
35,明太ポテトサラダ,sake,,,,
36,焼き鳥,sake,,,,
37,子持ちししゃも,sake,,,,
38,牛カルビ焼,sake,,,,
39,煮たまご,sake,,,,
40,サラダチキン　タンドリーチキン,sake,,,,
41,焼き帆立貝,sake,,,,
42,半熟煮たまご,sake,,,,
43,やげん軟骨,sake,,,,
44,サムギョプサル,sake,,,,
45,やみつき辛旨　チョリソー,sake,,,,
46,いか一夜干し焼,sake,,,,
47,たこわさ,sake,,,,
48,春巻き,sake,,,,
49,豚ロース生姜焼,sake,,,,
50,カリカリトリプルチーズ,sake,,,,
51,チョコオールドファッション,sake,,,,
52,たことブロッコリーバジルサラダ,sake,,,,
53,おつまみ帆立,sake,,,,
54,海老とマッシュルームのアヒージョ風,sake,,,,
55,大葉香るささみチーズカツ,sake,,,,
56,かれいの照煮,sake,,,,
57,ピリッと旨い焼きするめ,sake,,,,
58,いかの塩辛,sake,,,,
59,砂肝の黒胡椒焼き,sake,,,,
60,軟骨入り鶏つくね・わさび,sake,,,,
61,海老の素揚げ,sake,,,,
62,桜チップで燻製したうずらのたまご,sake,,,,
63,たけのこ土佐煮,sake,,,,
64,炙り辛子明太子,sake,,,,
65,岩下の新生姜,sake,,,,
66,枝豆チップス,sake,,,,
67,すっぱい干し梅,sake,,,,
68,海鮮ごのみ,sake,,,,
69,枝豆スナック,sake,,,,
70,こんがりおこげせん　さっぱり梅味,sake,,,,
71,いかみりん,sake,,,,
72,おしゃぶり昆布梅,sake,,,,
73,チーズちくわ,sake,,,,
74,いか天明太マヨネーズ,sake,,,,
75,鮭とば,sake,,,,
76,焼ほたて貝ひも,sake,,,,
77,ぎんなん,sake,,,,
78,バスクチーズケーキ,sake,,,,